ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case
bt_tia_i_op,BT,TIA,,,bt_test_enable_tia,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,2'h0,BT_RX_ON
,,,,,,,,,,,
bt_sdm_adc_op_vp_r,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h7,BT_RX_ON
bt_sdm_adc_op_vp_l,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h7,BT_RX_ON
bt_sdm_adc_vref_src,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h6,BT_RX_ON
bt_sdm_adc_dvdd,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h6,BT_RX_ON
bt_sdm_adc_vref_sdm,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h5,BT_RX_ON
bt_sdm_adc_vcombuf,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h5,BT_RX_ON
bt_sdm_adc_von1_l,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h3,BT_RX_ON
bt_sdm_adc_vop1_l,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h3,BT_RX_ON
bt_sdm_adc_von1_r,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h2,BT_RX_ON
bt_sdm_adc_vop1_r,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h2,BT_RX_ON
bt_sdm_adc_von2_l,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h1,BT_RX_ON
bt_sdm_adc_vop2_l,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h1,BT_RX_ON
bt_sdm_adc_von2_r,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'h0,BT_RX_ON
bt_sdm_adc_vop2_r,BT,sdmadc,,,bt_test_enable_sdm_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'h0,BT_RX_ON
