ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,122,1088,60.73,12.86,12.19,19.30,16.55
0,122,1152,61.23,13.33,12.69,21.55,18.59
0,122,1216,61.70,13.84,13.16,24.21,20.71
0,122,1280,62.14,14.32,13.59,27.01,22.85
0,122,1344,62.57,14.71,14.05,29.60,25.44
0,122,1408,62.97,15.10,14.41,32.36,27.58
0,122,1472,63.36,15.35,14.80,34.25,30.19
0,122,1536,63.73,15.74,15.14,37.53,32.69
0,122,1600,64.08,16.06,15.48,40.37,35.35
0,122,1664,64.42,16.42,15.85,43.88,38.43
0,122,1728,64.75,16.77,16.19,47.57,41.56
0,122,1792,65.07,17.14,16.50,51.78,44.62
0,122,1856,65.37,17.35,16.80,54.36,47.83
0,122,1920,65.67,17.59,17.07,57.42,50.92
0,122,1984,65.95,17.86,17.33,61.04,54.10
0,122,2048,66.23,18.14,17.57,65.14,57.13
0,122,2112,66.49,18.36,17.80,68.60,60.19
0,122,2176,66.75,18.56,18.01,71.70,63.19
0,122,2240,67.00,18.77,18.23,75.28,66.60
0,122,2304,67.25,19.01,18.50,79.64,70.76
0,122,2368,67.49,19.25,18.73,84.10,74.73
0,122,2432,67.72,19.41,18.98,87.32,79.02
0,122,2496,67.94,19.65,19.21,92.22,83.28
0,122,2560,68.16,19.83,19.41,96.21,87.31
0,122,2624,68.38,20.03,19.61,100.71,91.36
0,122,2688,68.59,20.21,19.79,104.99,95.31
0,122,2752,68.79,20.37,19.95,108.83,98.89
0,122,2816,68.99,20.53,20.14,112.93,103.18
0,122,2880,69.19,20.67,20.32,116.62,107.53
0,122,2944,69.38,20.80,20.46,120.31,111.25
0,122,3008,69.57,20.97,20.64,125.03,115.76
0,122,3072,69.75,21.12,20.78,129.28,119.72
0,122,3136,69.93,21.32,20.97,135.66,125.03
0,122,3200,70.10,21.48,21.13,140.53,129.79
0,122,3264,70.28,21.62,21.29,145.29,134.62
0,122,3328,70.44,21.75,21.45,149.46,139.71
0,122,3392,70.61,21.89,21.61,154.44,144.74
