CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
122,5 11,0xDF3F5FAF,8,8,8,8,1,13,1,13
122,5 11,0xDF3F5FAF,8,8,8,8,1,13,1,13
138,5 11,0xC23F5572,8,8,8,8,4,9,4,9
138,5 11,0xC23F557F,8,8,8,8,4,9,4,9
138,5 11,0xC23F558F,8,8,8,8,4,9,4,9
138,5 11,0xC23F55A0,8,8,8,8,4,9,4,9
138,5 11,0xC33F5772,8,8,8,8,4,9,4,9
138,5 11,0xC33F5780,8,8,8,8,4,9,4,9
138,5 11,0xC33F578F,8,8,8,8,4,9,4,9
138,5 11,0xC33F57A1,8,8,8,8,4,9,4,9
138,5 11,0xD43F596B,8,8,8,8,4,9,4,9
138,5 11,0xD43F5978,8,8,8,8,4,9,4,9
138,5 11,0xD43F5987,8,8,8,8,4,9,4,9
138,5 11,0xD43F5997,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B66,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B72,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B80,8,8,8,8,4,9,4,9
138,5 11,0xD53F5B90,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D64,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D70,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D7E,8,8,8,8,4,9,4,9
138,5 11,0xDE3F5D8D,8,8,8,8,4,9,4,9
138,5 11,0xDF3F5F7A,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5F89,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5F9A,8,8,8,8,1,13,1,13
138,5 11,0xDF3F5FAD,8,8,8,8,1,13,1,13
