ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
155,3072,69.75,16.12,18.19,40.96,65.94,0x80C03F51
155,3136,69.93,16.28,18.37,42.48,68.73,0x80C03F51
155,3200,70.10,16.52,18.55,44.91,71.61,0x80C03F51
155,3264,70.28,16.63,18.72,46.06,74.40,0x80C03F51
155,3328,70.44,16.89,18.88,48.86,77.27,0x80C03F51
155,3392,70.61,17.02,19.06,50.34,80.49,0x80C03F51
155,3456,70.77,17.18,19.23,52.29,83.71,0x80C03F51
155,3520,70.93,17.31,19.38,53.77,86.77,0x80C03F51
155,3584,71.09,17.46,19.53,55.73,89.71,0x80C03F51
155,3648,71.24,17.64,19.69,58.12,93.03,0x80C03F51
155,3712,71.39,17.75,19.84,59.60,96.30,0x80C03F51
155,3776,71.54,17.88,20.01,61.33,100.17,0x80C03F51
155,3840,71.69,18.04,20.16,63.73,103.76,0x80C03F51
155,3904,71.83,18.17,20.30,65.65,107.06,0x80C03F51
155,3968,71.97,18.35,20.44,68.46,110.62,0x80C03F51
155,4032,72.11,18.46,20.57,70.19,114.05,0x80C03F51
