Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,0,4,5,11,13.59,-33.06
42,0,0,4,5,12,13.66,-33.50
42,0,0,4,5,13,13.67,-33.36
42,0,0,4,5,14,13.69,-33.78
42,0,0,4,5,15,13.66,-33.71
42,0,0,4,6,0,12.96,-33.26
42,0,0,4,6,1,13.03,-33.19
42,0,0,4,6,2,13.03,-33.13
42,0,0,4,6,3,13.10,-33.15
42,0,0,4,6,4,13.11,-33.28
42,0,0,4,6,5,13.22,-33.49
42,0,0,4,6,6,13.19,-33.14
42,0,0,4,6,7,13.27,-33.57
42,0,0,4,6,8,13.27,-33.19
42,0,0,4,6,9,13.37,-33.47
42,0,0,4,6,10,13.37,-33.31
42,0,0,4,6,11,13.52,-33.45
42,0,0,4,6,12,13.60,-33.78
42,0,0,4,6,13,13.65,-33.69
42,0,0,4,6,14,13.64,-34.00
42,0,0,4,6,15,13.61,-34.00
42,0,0,4,7,0,12.86,-33.28
42,0,0,4,7,1,12.97,-33.68
42,0,0,4,7,2,12.96,-33.48
42,0,0,4,7,3,13.01,-33.20
42,0,0,4,7,4,13.02,-33.19
42,0,0,4,7,5,13.09,-33.25
42,0,0,4,7,6,13.05,-32.96
42,0,0,4,7,7,13.16,-33.15
42,0,0,4,7,8,13.21,-33.62
42,0,0,4,7,9,13.26,-33.35
42,0,0,4,7,10,13.26,-33.35
42,0,0,4,7,11,13.39,-33.30
42,0,0,4,7,12,13.46,-33.30
42,0,0,4,7,13,13.56,-33.79
42,0,0,4,7,14,13.56,-34.04
42,0,0,4,7,15,13.52,-34.06
42,0,0,5,0,0,13.23,-33.36
42,0,0,5,0,1,13.36,-33.83
42,0,0,5,0,2,13.35,-33.56
42,0,0,5,0,3,13.44,-33.39
