BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,15.32,-42.82,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D62    ,16.17,-41.85,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D6E    ,15.23,-42.46,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.55,-44.62,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.41,-44.30,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.34,-43.58,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.33,-43.40,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,19.11,-22.44,NA,NA,NA
#A3,ANT0,testmode22_dbg_tmx_vh_vbit_2003.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96F    ,21.22,4.14,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,14.63,-44.69,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D64    ,15.65,-43.32,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D6E    ,15.24,-44.75,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.56,-43.97,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.63,-43.73,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.24,-44.09,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,15.36,-43.80,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB68    ,18.63,-23.70,NA,NA,NA
#A3,ANT1,testmode22_dbg_tmx_vh_vbit_2003.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96F    ,20.99,3.33,NA,NA,NA
