Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
122,0,4,2,7,0,12.69,-37.19
122,0,4,2,7,2,12.74,-37.67
122,0,4,2,7,4,12.76,-36.96
122,0,4,2,7,6,12.85,-37.65
122,0,4,2,7,8,12.92,-37.65
122,0,4,2,7,10,12.93,-37.71
122,0,4,2,7,12,12.96,-38.17
122,0,4,2,7,14,12.83,-37.25
138,0,4,2,7,0,12.70,-37.77
138,0,4,2,7,2,12.73,-37.99
138,0,4,2,7,4,12.84,-37.57
138,0,4,2,7,6,12.85,-37.41
138,0,4,2,7,8,12.92,-37.44
138,0,4,2,7,10,12.90,-37.53
138,0,4,2,7,12,12.94,-37.56
138,0,4,2,7,14,12.90,-37.37
155,0,4,2,7,0,11.86,-38.50
155,0,4,2,7,2,11.98,-38.80
155,0,4,2,7,4,12.02,-38.85
155,0,4,2,7,6,11.99,-38.77
155,0,4,2,7,8,12.11,-38.61
155,0,4,2,7,10,12.08,-38.84
155,0,4,2,7,12,12.12,-38.96
155,0,4,2,7,14,12.11,-38.91
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,15,4,0,9,13.73,-33.55
42,0,15,4,0,9,13.73,-33.51
